Name,Type,County,State FIPS Code,Incorporated Area FIPS Code,Source,"Area (Square Miles, Calculated)",Estimated Population (2020),Estimated Population (2010),Estimated Population (2000),SHAPE__Length,SHAPE__Area
Albion,Town,Noble County,18,820,2023 Data Harvest,1.894,"2,222","2,349","2,292",0.186,0.001
Avilla,Town,Noble County,18,2872,2023 Data Harvest,1.688,"2,438","2,401","2,039",0.212,0
Bargersville,Town,Johnson County,18,3394,2023 Data Harvest,18.717,"9,560","4,013","2,150",0.472,0.005
Birdseye,Town,Dubois County,18,5374,2023 Data Harvest,0.648,417,416,465,0.058,0
Cromwell,Town,Noble County,18,15994,2023 Data Harvest,0.32,487,512,419,0.056,0
Brookville,Town,Franklin County,18,8182,2022 Data Harvest,1.452,"2,622","2,596","2,592",0.151,0
Ferdinand,Town,Dubois County,18,22990,2023 Data Harvest,2.389,"2,157","2,157","2,275",0.223,0.001
Prince's Lakes,Town,Johnson County,18,62028,2023 Data Harvest,1.513,"1,372","1,312","1,506",0.127,0
Beech Grove,City,Marion County,18,4204,2022 Data Harvest,4.458,"14,717","14,192","14,200",0.216,0.001
Franklin,City,Johnson County,18,25450,2023 Data Harvest,15.408,"25,313","23,712","19,823",0.852,0.004
Greenwood,City,Johnson County,18,29898,2023 Data Harvest,28.61,"63,830","49,791","35,767",0.621,0.008
Holland,Town,Dubois County,18,34294,2023 Data Harvest,0.361,619,626,710,0.056,0
Huntingburg,City,Dubois County,18,35284,2023 Data Harvest,5.313,"6,362","6,057","5,577",0.321,0.001
Jasper,City,Dubois County,18,37782,2023 Data Harvest,13.428,"16,703","15,038","11,966",0.619,0.004
Kendallville,City,Noble County,18,39402,2023 Data Harvest,6.21,"10,271","9,862","9,450",0.418,0.002
Ligonier,City,Noble County,18,43686,2023 Data Harvest,2.797,"4,568","4,405","4,539",0.225,0.001
Lawrence,City,Marion County,18,42426,2022 Data Harvest,20.233,"49,370","46,001","39,237",0.412,0.006
Trafalgar,Town,Johnson County,18,76310,2023 Data Harvest,2.553,"1,422","1,101",825,0.125,0.001
Whiteland,Town,Johnson County,18,83816,2023 Data Harvest,5.443,"4,599","4,169","3,822",0.395,0.001
Speedway,Town,Marion County,18,71828,2022 Data Harvest,4.739,"13,952","11,812","12,852",0.261,0.001
Southport,City,Marion County,18,71486,2023 Census Boundaries,0.616,"2,123","1,712","1,948",0.063,0
Frankfort,City,Clinton County,18,25324,2023 Census Boundaries,8.049,"16,715","16,422","16,660",0.435,0.002
Carbon,Town,Clay County,18,10198,2023 Census Boundaries,0.149,263,397,340,0.038,0
Winamac,Town,Pulaski County,18,84734,2023 Census Boundaries,1.36,"2,318","2,490","2,416",0.119,0
Wingate,Town,Montgomery County,18,84914,2023 Census Boundaries,0.193,237,263,318,0.05,0
New Whiteland,Town,Johnson County,18,53874,2023 Data Harvest,1.448,"5,550","5,472","4,725",0.158,0
Rome City,Town,Noble County,18,65808,2023 Data Harvest,2.463,"1,322","1,361","1,675",0.299,0.001
State Line City,Town,Warren County,18,72764,2023 Census Boundaries,0.139,120,143,134,0.03,0
Indianapolis,City,Marion County,18,36003,2022 Data Harvest,367.772,"887,642","820,445","781,926",2.722,0.1
Advance,Town,Boone County,18,640,2024 Data Harvest,0.595,503,477,564,0.058,0
Akron,Town,Fulton County,18,748,2024 Data Harvest,0.541,"1,125","1,167","1,044",0.064,0
Alamo,Town,Montgomery County,18,784,2024 Data Harvest,0.062,66,66,108,0.017,0
Albany,Town,Delaware County,18,802,2024 Data Harvest,1.927,"2,295","2,165","2,374",0.188,0.001
Alexandria,City,Madison County,18,910,2024 Data Harvest,3.021,"5,149","5,145","6,716",0.316,0.001
Alfordsville,Town,Daviess County,18,964,2024 Data Harvest,0.066,65,101,124,0.022,0
Alton,Town,Crawford County,18,1270,2024 Data Harvest,0.141,29,55,53,0.032,0
Altona,Town,Dekalb County,18,1288,2024 Data Harvest,0.203,213,197,200,0.045,0
Ambia,Town,Benton County,18,1342,2024 Data Harvest,0.153,227,239,194,0.029,0
Amboy,Town,Miami County,18,1360,2024 Data Harvest,0.34,317,384,354,0.063,0
